Number of Sortees,Bubble Sort,Selection Sort,Insertion Sort,Shell Sort,Quick Sort,Merge Sort
5,0.01,0.013,0.01,0.011,0.028,0.025,
10,0.013,0.015,0.014,0.014,0.017,0.019,
50,0.091,0.069,0.07,0.035,0.042,0.057,
100,0.454,0.228,0.259,0.073,0.076,0.113,
500,8.573,5.18,6.285,0.519,0.402,0.572,
1000,42.087,21.216,29.06,1.254,0.853,1.318,
5000,911.401,468.275,650.601,12.505,5.111,7.688,
10000,3974.9,2028.85,2839.23,72.093,12.267,33.371,
50000,89053.5,50571.4,65009.6,192.363,88.888,103.969,
100000,362513,208819,254821,197.126,119.778,193.669,
